Country,Code,Year,Value
Afghanistan,AFG,2020,2265.9998
Africa,,2020,2579.5566
Africa (FAO),,2020,2580
Albania,ALB,2020,3349
Algeria,DZA,2020,3506.0002
Americas (FAO),2020,3365,
Angola,AGO,2020,2396.9998
Antigua and Barbuda,ATG,2020,2427.6858
Argentina,ARG,2020,3308
Armenia,ARM,2020,3218.0002
Asia,,2020,2895.3328
Asia (FAO),,2020,2899
Australia,AUS,2020,3479.9998
Austria,AUT,2020,3777
Azerbaijan,AZE,2020,3343.9995
Bahamas,BHS,2020,2560.9497
Bahrain,BHR,2020,3535.9807
Bangladesh,BGD,2020,2570.0002
Barbados,BRB,2020,3193.8408
Belarus,BLR,2020,3333.9983
Belgium,BEL,2020,3859.0012
Belize,BLZ,2020,2863.9204
Benin,BEN,2020,2724.9998
Bhutan,BTN,2020,3263.9917
Bolivia,BOL,2020,2379.9983
Bosnia and Herzegovina,BIH,2020,3370
Botswana,BWA,2020,2583.9958
Brazil,BRA,2020,3252
Bulgaria,BGR,2020,2898.9998
Burkina Faso,BFA,2020,2674.9998
Burundi,BDI,2020,1770.0002
Cambodia,KHM,2020,2787.9993
Cameroon,CMR,2020,2812
Canada,CAN,2020,3624.0007
Cape Verde,CPV,2020,2652.9727
Caribbean (FAO),2020,2856,
Central African Republic,CAF,2020,1821.9987
Central America (FAO),2020,3122,
Central Asia (FAO),2020,3143,
Chad,TCD,2020,2256.999
Chile,CHL,2020,3090.9988
China,CHN,2020,3322
China (FAO),,2020,3314
Colombia,COL,2020,3086.0002
Comoros,COM,2020,2482.006
Congo,COG,2020,2179.995
Costa Rica,CRI,2020,3024.9958
Cote d'Ivoire,CIV,2020,2885.9998
Croatia,HRV,2020,3218.9985
Cuba,CUB,2020,3379.0015
Cyprus,CYP,2020,3035
Czechia,CZE,2020,3358.9998
Democratic Republic of Congo,COD,2020,2091.9998
Denmark,DNK,2020,3596.0012
Djibouti,DJI,2020,2801.9949
Dominica,DMA,2020,2953.5488
Dominican Republic,DOM,2020,3099.9978
East Timor,TLS,2020,2218.9863
Eastern Africa (FAO),2020,2292,
Eastern Asia (FAO),2020,3247,
Eastern Europe (FAO),2020,3318,
Ecuador,ECU,2020,2538.0005
Egypt,EGY,2020,3154.0002
El Salvador,SLV,2020,2772.9983
Estonia,EST,2020,3246.9778
Eswatini,SWZ,2020,2535.9722
Ethiopia,ETH,2020,2456.9998
Europe,,2020,3442.6985
Europe (FAO),,2020,3446
European Union (27),2020,3536.994,
European Union (27) (FAO),2020,3537,
Fiji,FJI,2020,2860.9688
Finland,FIN,2020,3358.0015
France,FRA,2020,3578
French Polynesia,PYF,2020,2862.858
Gabon,GAB,2020,2615.9854
Gambia,GMB,2020,2453.9856
Georgia,GEO,2020,3044.9983
Germany,DEU,2020,3642
Ghana,GHA,2020,3041.9998
Greece,GRC,2020,3377.9995
Grenada,GRD,2020,2539.7537
Guatemala,GTM,2020,2712.0007
Guinea,GIN,2020,2858.9985
Guinea-Bissau,GNB,2020,2161.9902
Guyana,GUY,2020,3150.9724
Haiti,HTI,2020,2096.9993
High-income countries,2020,3496.6973,
Honduras,HND,2020,2617.9995
Hong Kong,HKG,2020,3099.002
Hungary,HUN,2020,3367.9998
Iceland,ISL,2020,3633.881
India,IND,2020,2550
Indonesia,IDN,2020,2923.9998
Iran,IRN,2020,2918.9998
Iraq,IRQ,2020,2295.2576
Ireland,IRL,2020,3887.9978
Israel,ISR,2020,3684.0015
Italy,ITA,2020,3688.0002
Jamaica,JAM,2020,2840.002
Japan,JPN,2020,2674
Jordan,JOR,2020,2329.9993
Kazakhstan,KAZ,2020,3382.9983
Kenya,KEN,2020,2262
Kiribati,KIR,2020,3082.683
Kuwait,KWT,2020,3481.9912
Kyrgyzstan,KGZ,2020,2732.9958
Land Locked Developing Countries (FAO),2020,2557,
Laos,LAO,2020,2728.001
Latvia,LVA,2020,3241.988
Least Developed Countries (FAO),2020,2434,
Lebanon,LBN,2020,2896.9978
Lesotho,LSO,2020,1800.9968
Liberia,LBR,2020,2107.9995
Libya,LBY,2020,3138.997
Lithuania,LTU,2020,3335.0012
Low Income Food Deficit Countries (FAO),2020,2402,
Low-income countries,2020,2311.5754,
Lower-middle-income countries,2020,2645.2744,
Luxembourg,LUX,2020,3476.9946
Macao,MAC,2020,2933.9697
Madagascar,MDG,2020,1981.9999
Malawi,MWI,2020,2642.0002
Malaysia,MYS,2020,2998
Maldives,MDV,2020,2544.9456
Mali,MLI,2020,2809.9995
Malta,MLT,2020,3308.974
Mauritania,MRT,2020,2961.9968
Mauritius,MUS,2020,3065
Mexico,MEX,2020,3271
Micronesia (FAO),2020,2932,
Micronesia (country),FSM,2020,2749.7793
Middle Africa (FAO),2020,2269,
Moldova,MDA,2020,2485.2651
Mongolia,MNG,2020,2948
Montenegro,MNE,2020,3481.9556
Morocco,MAR,2020,3351.0002
Mozambique,MOZ,2020,2142
Myanmar,MMR,2020,2823
Namibia,NAM,2020,2574.0012
Nauru,NRU,2020,3018.8882
Nepal,NPL,2020,2900.0005
Net Food Importing Developing Countries (FAO),2020,2544,
Netherlands,NLD,2020,3474.9998
New Caledonia,NCL,2020,2908.8782
New Zealand,NZL,2020,3149
Nicaragua,NIC,2020,2625
Niger,NER,2020,2643.9995
Nigeria,NGA,2020,2509
North America,2020,3575.2944,
North Korea,PRK,2020,2029.9998
North Macedonia,MKD,2020,3125.9883
Northern Africa (FAO),2020,3164,
Northern America (FAO),2020,3864,
Northern Europe (FAO),2020,3403,
Norway,NOR,2020,3532.0024
Oceania,,2020,3112.649
Oceania (FAO),2020,3112,
Oman,OMN,2020,3084.9958
Pakistan,PAK,2020,2484
Panama,PAN,2020,3015.0063
Papua New Guinea,PNG,2020,2233.9998
Paraguay,PRY,2020,3107.9954
Peru,PER,2020,2822.9995
Philippines,PHL,2020,2795.9998
Poland,POL,2020,3524.0002
Portugal,PRT,2020,3506.0015
Qatar,QAT,2020,3506.9998
