Airport Code,AirportName,CityName,CountryName,CountryCode,Latitude,Longitude,World Area Code,,,
BBE,Big Bell,Big Bell,Australia,AU,-27.416667,117.666667,802,,,
AXL,Alexandria,Alexandria,Australia,AU,-19.116667,136.766667,802,,,
BVZ,Beverley Springs,Beverley Springs,Australia,AU,-17.983333,125.45,802,,,
DRW,Darwin,Darwin,Australia,AU,-12.416667,130.866667,802,,,
LLP,Linda Downs,Linda Downs,Australia,AU,-23.016667,138.7,802,,,
PQQ,Port Macquarie,Port Macquarie,Australia,AU,-31.633333,152.916667,802,,,
RTS,Rottnest Island,Rottnest Island,Australia,AU,-32.0,115.533333,802,,,
XJG,Darwin Railway,Darwin,Australia,AU,-33.1,-57.633333,802,,,
CZY,Cluny,Cluny,Australia,AU,-24.5,139.5,802,,,
LGE,Lake Gregory,Lake Gregory,Australia,AU,-28.916667,139.0,802,,,
LST,Launceston,Launceston,Australia,AU,-41.546667,147.212778,802,,,
FVL,Flora Valey,Flora Valley,Australia,AU,-18.333333,128.0,802,,,
MIH,Mitchell Plateau,Mitchell Plateau,Australia,AU,-14.783333,125.816667,802,,,
PEA,Penneshaw,Penneshaw,Australia,AU,-35.733333,137.933333,802,,,
HBA,Hobart,Hobart,Australia,AU,-42.836111,147.510278,802,,,
AGY,Argyle Downs,Argyle Downs,Australia,AU,-16.35,128.75,802,,,
AWP,Austral Downs,Austral Downs,Australia,AU,-20.333333,137.25,802,,,
NUB,Numbulwar,Numbulwar,Australia,AU,-14.266667,135.716667,802,,,
KQB,Koonibba,Koonibba,Australia,AU,-31.966667,133.45,802,,,
LKD,Lakeland Downs,Lakeland Downs,Australia,AU,-16.166667,145.5,802,,,
CBX,Condobolin,Condobolin,Australia,AU,-33.066667,147.2,802,,,
LUU,Laura,Laura,Australia,AU,-15.666667,144.166667,802,,,
RDA,Rockhampton Downs,Rockhampton Downs,Australia,AU,-18.95,135.2,802,,,
SQP,Starcke,Starcke,Australia,AU,-14.2,147.166667,802,,,
HID,Horn Island,Horn Island,Australia,AU,-10.536667,142.29,802,,,
PHE,Port Hedland,Port Hedland,Australia,AU,-20.383333,118.45,802,,,
CBI,Cape Barren Island,Cape Barren Island,Australia,AU,-31.983333,132.15,802,,,
BCZ,Bickerton Island,Bickerton Island,Australia,AU,-13.783333,137.8,802,,,
GPN,Garden Point,Garden Point,Australia,AU,-11.4,130.433333,802,,,
SGP,Shay Gap,Shay Gap,Australia,AU,-20.483333,120.1,802,,,
KNS,King Island,"King Island, Tasmania",Australia,AU,-39.883056,143.883056,802,,,
IKP,Inkerman,Inkerman,Australia,AU,-16.25,141.5,802,,,
SWB,Shaw River,Shaw River,Australia,AU,-21.516667000000000,119.366667,802,,,
BTX,Betoota,Betoota,Australia,AU,-25.633333,140.8,802,,,
DOX,Dongara,Dongara,Australia,AU,-29.25,114.933333,802,,,
SCG,Spring Creek,Spring Creek,Australia,AU,-18.633333,144.55,802,,,
ZVG,Springvale,Springvale,Australia,AU,-17.8,127.633333,802,,,
HTI,Hamilton Island,Hamilton Island,Australia,AU,-20.358056,148.951667,802,,,
WUN,Wiluna,Wiluna,Australia,AU,-26.633333,120.216667,802,,,
LVO,Laverton,Laverton,Australia,AU,-28.633333,122.366667,802,,,
XTR,Tara,Tara,Australia,AU,-27.161667,150.476944,802,,,
NDS,Sandstone,Sandstone,Australia,AU,-28.0,119.25,802,,,
KBY,Streaky Bay,Streaky Bay,Australia,AU,-32.8,134.233333,802,,,
BUY,Bunbury,Bunbury,Australia,AU,-33.378333,115.676667,802,,,
CRB,Collarenebri,Collarenebri,Australia,AU,-29.525833,148.575833,802,,,
CFS,Coffs Harbour,Coffs Harbour,Australia,AU,-30.320556,153.116389,802,,,
LLL,Lissadell,Lissadell,Australia,AU,-16.5,128.666667,802,,,
ZGL,South Galway,South Galway,Australia,AU,-25.683333,142.116667,802,,,
KCE,Collinsville,Collinsville,Australia,AU,-20.55,147.866667,802,,,
SBR,Saibai Island,Saibai Island,Australia,AU,-9.4,142.666667,802,,,
NLS,Nicholson,Nicholson,Australia,AU,-18.041667,128.9,802,,,
MVK,Mulka,Mulka,Australia,AU,-28.35,138.65,802,,,
XHW,Alice Springs Railway,Alice Springs,Australia,AU,-23.566667,145.8,802,,,
CRY,Carlton Hill,Carlton Hill,Australia,AU,-15.7,128.5,802,,,
RPM,Ngukurr,Ngukurr,Australia,AU,-14.833333,134.916667,802,,,
CMD,Cootamundra,Cootamundra,Australia,AU,-34.633333,148.05,802,,,
ERB,Ernabella,Ernabella,Australia,AU,-26.266667000000000,132.166667,802,,,
UBU,Kalumburu,Kalumburu,Australia,AU,-14.416667,126.666667,802,,,
KWM,Kowanyama,Kowanyama,Australia,AU,-15.487778,141.76,802,,,
TYG,Thylungra,Thylungra,Australia,AU,-26.066667,143.466667,802,,,
ABX,Albury,Albury,Australia,AU,-36.066667,146.95,802,,,
KUG,Kubin Island,Kubin Island,Australia,AU,-10.25,142.216667,802,,,
KBJ,Kings Canyon,Kings Canyon,Australia,AU,-24.261389,131.490833,802,,,
LOA,Lorraine,Lorraine,Australia,AU,-19.083333,139.966667,802,,,
WAU,Wauchope,Wauchope,Australia,AU,-31.45,152.733333,802,,,
TYB,Tibooburra,Tibooburra,Australia,AU,-29.433333,142.016667,802,,,
NYN,Nyngan,Nyngan,Australia,AU,-31.55,147.183333,802,,,
CUY,Cue,Cue,Australia,AU,-27.45,117.916667,802,,,
KTR,Tindal,Katherine,Australia,AU,-14.516667,132.366667,802,,,
CCW,Cowell,Cowell,Australia,AU,-33.666667,136.9,802,,,
HWK,Wilpena Pound,Hawker,Australia,AU,-31.883333,138.4,802,,,
WAN,Waverney,Waverney,Australia,AU,-25.366667,141.933333,802,,,
DLK,Dulkaninna,Dulkaninna,Australia,AU,-29.016667,139.466667,802,,,
GSC,Gascoyne Junction,Gascoyne Junction,Australia,AU,-25.05,115.2,802,,,
MWY,Miranda Downs,Miranda Downs,Australia,AU,-17.366667,141.866667,802,,,
NMR,Nappa Merry,Nappa Merry,Australia,AU,-27.633333,141.083333,802,,,
