id,ident,type,name,latitude_deg,longitude_deg,municipality
27145,YSSY,large_airport,Sydney Kingsford Smith International Airport,-33.94609833,151.177002,Sydney
27066,YMML,large_airport,Melbourne International Airport,-37.673302,144.843002,Melbourne
26901,YBBN,large_airport,Brisbane International Airport,-27.38419914,153.11700439453100,Brisbane
27119,YPPH,large_airport,Perth International Airport,-31.94029999,115.96700286865200,Perth
26904,YBCS,medium_airport,Cairns International Airport,-16.88579941,145.7550049,Cairns
27096,YPAD,large_airport,Adelaide International Airport,-34.945,138.531006,Adelaide
27101,YPDN,medium_airport,Darwin International Airport,-12.41469955,130.8769989013670,Darwin
26902,YBCG,medium_airport,Gold Coast Airport,-28.1644001,153.5050049,Gold Coast
27131,YSCB,large_airport,Canberra International Airport,-35.30690002,149.19500732421900,Canberra
26900,YBAS,medium_airport,Alice Springs Airport,-23.80669975,133.90199279785200,Alice Springs
27058,YMHB,medium_airport,Hobart International Airport,-42.83610153,147.5099945,Hobart
27063,YMLT,medium_airport,Launceston Airport,-41.54529953,147.2140045,Launceston
27130,YSBK,medium_airport,Sydney Bankstown Airport,-33.92440033,150.98800659179700,Sydney
26895,YAYE,medium_airport,Ayers Rock Connellan Airport,-25.1861,130.975998,Ayers Rock
27043,YMAV,medium_airport,Avalon Airport,-38.039398,144.468994,Melbourne
26934,YBTL,medium_airport,Townsville Airport,-19.25250053,146.76499938964800,Townsville
26918,YBMC,medium_airport,Sunshine Coast Airport,-26.6033,153.091003,Maroochydore
27064,YMMB,medium_airport,Melbourne Moorabbin Airport,-37.97579956,145.1020050048830,Melbourne
27060,YMIA,medium_airport,Mildura Airport,-34.22919846,142.0859985,Mildura
26925,YBRK,medium_airport,Rockhampton Airport,-23.38190079,150.4750061,Rockhampton
27133,YSCN,medium_airport,Camden Airport,-34.04029846,150.68699645996100,
27106,YPJT,medium_airport,Perth Jandakot Airport,-32.09749985,115.88099670410200,Perth
26909,YBHM,medium_airport,Hamilton Island Airport,-20.35810089,148.9519959,Hamilton Island
27051,YMEN,medium_airport,Melbourne Essendon Airport,-37.7281,144.901993,Melbourne
27147,YSTW,medium_airport,Tamworth Airport,-31.08390045,150.8470001,Tamworth
26927,YBRM,medium_airport,Broome International Airport,-17.94470024,122.23200225830100,Broome
27118,YPPF,small_airport,Adelaide Parafield Airport,-34.79330063,138.6329956,Adelaide
26897,YBAF,small_airport,Brisbane Archerfield Airport,-27.57029915,153.0079956,Brisbane
27175,YWLM,medium_airport,Newcastle Airport,-32.79499817,151.83399963378900,Williamtown
27028,YKSC,medium_airport,Kingscote Airport,-35.71390152,137.5209961,
26920,YBNA,medium_airport,Ballina Byron Gateway Airport,-28.83390045,153.5619965,Ballina
27132,YSCH,medium_airport,Coffs Harbour Airport,-30.32060051,153.1159973,Coffs Harbour
27108,YPKG,medium_airport,Kalgoorlie Boulder Airport,-30.7894001,121.461998,Kalgoorlie
27149,YSWH,medium_airport,Swan Hill Airport,-35.37580109,143.5330047607420,
26958,YCNK,small_airport,Cessnock Airport,-32.787498,151.341995,
26906,YBDG,small_airport,Bendigo Airport,-36.73939896,144.3300018,
27097,YPAG,medium_airport,Port Augusta Airport,-32.50690079,137.7169952392580,
26908,YBHI,medium_airport,Broken Hill Airport,-32.00139999,141.4720001,Broken Hill
27148,YSWG,medium_airport,Wagga Wagga City Airport,-35.16529846,147.4660034,Wagga Wagga
26979,YECH,medium_airport,Echuca Airport,-36.15719986,144.76199340820300,
27138,YSHT,medium_airport,Shepparton Airport,-36.42890167,145.39300537109400,
27129,YRTI,small_airport,Rottnest Island Airport,-32.006699,115.540001,
27068,YMND,small_airport,Maitland Airport,-32.701265,151.492912,
26937,YBUN,small_airport,Bunbury Airport,-33.37829971,115.677002,
27177,YWOL,medium_airport,Wollongong Airport,-34.56110001,150.78900146484400,
27076,YMTG,medium_airport,Mount Gambier Airport,-37.74560165,140.78500366210900,
26932,YBTH,medium_airport,Bathurst Airport,-33.40940094,149.6519928,Bathurst
27184,YWYY,medium_airport,Wynyard Airport,-40.99890137,145.7310028076170,Burnie
26991,YGEL,medium_airport,Geraldton Airport,-28.796101,114.707001,Geraldton
26919,YBMK,medium_airport,Mackay Airport,-21.17169952,149.1799927,Mackay
27169,YWGT,medium_airport,Wangaratta Airport,-36.41579819,146.3070068359380,
27041,YLTV,medium_airport,Latrobe Valley Airport,-38.207199,146.470001,Morwell
27079,YMUL,small_airport,Murray Field,-32.50830078,115.84200286865200,
27919,YRED,small_airport,Redcliffe Airport,-27.20669937,153.0679931640630,Redcliffe
26946,YCBP,medium_airport,Coober Pedy Airport,-29.04000092,134.7209930419920,
26893,YARM,medium_airport,Armidale Airport,-30.52809906,151.6170044,Armidale
26936,YBUD,medium_airport,Bundaberg Airport,-24.90390015,152.3190002,Bundaberg
26975,YDPO,medium_airport,Devonport Airport,-41.16970062,146.4299927,Devonport
27107,YPKA,medium_airport,Karratha Airport,-20.71220016,116.7730026,Karratha
27111,YPKU,medium_airport,Kununurra Airport,-15.77810001,128.7079926,Kununurra
27035,YLIS,medium_airport,Lismore Airport,-28.83029938,153.2599945,Lismore
26917,YBMA,medium_airport,Mount Isa Airport,-20.66390038,139.4889984,Mount Isa
27109,YPKS,medium_airport,Parkes Airport,-33.13140106,148.2389984,Parkes
26968,YCWR,medium_airport,Cowra Airport,-33.84469986,148.6490020751950,
27048,YMDG,medium_airport,Mudgee Airport,-32.5625,149.6109924,Mudgee
27187,YYWG,small_airport,Yarrawonga Airport,-36.02890015,146.0290069580080,
27417,YBSS,small_airport,Bacchus Marsh Airport,-37.73333333,144.4216667,
26915,YBLN,small_airport,Busselton Regional Airport,-33.68842316,115.4015961,
27057,YMGT,small_airport,Margaret River Airport,-33.93059921,115.0999985,
27946,YSEN,small_airport,Serpentine Airport,-32.39496613,115.87098693847700,
