_non,DepartingPort,ArrivingPort,Airline,dep_lat,dep_lon,arr_lat,arr_lon,dep_iata,arr_iata
92,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
93,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
95,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
96,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
2952,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
2953,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
2955,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
2956,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
4014,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
4015,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
4017,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
4018,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
5797,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
5798,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
5800,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
5801,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
7473,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
7474,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
7476,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
7477,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
10329,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
10330,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
10332,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
10333,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
11365,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
11366,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
11368,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
11369,ballina,sydney,Virgin Australia,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
13142,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
13143,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
13145,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
13146,ballina,sydney,All Airlines,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
14816,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
14817,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
14819,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.869,151.262,BNK,RSE
14820,ballina,sydney,Jetstar,-28.83390045,153.5619965,-33.5871,151.3234,BNK,LBH
17646,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.94609833,151.177002,BNK,SYD
17647,ballina,sydney,Regional Express,-28.83390045,153.5619965,-33.92440033,150.9880066,BNK,BWU
