Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures(%)","OnTime Arrivals(%)","Cancellations(%)"
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,Jan-20, 30, 27, 3, 18, 19, 9, 8,66.7,70.4,10.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,Jan-20, 31, 30, 1, 15, 14, 15, 16,50.0,46.7,3.2
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,Jan-20, 119, 106, 13, 61, 66, 45, 40,57.5,62.3,10.9
Adelaide-Perth,Adelaide,Perth,Jetstar,Jan-20, 21, 20, 1, 11, 16, 9, 4,55.0,80.0,4.8
Adelaide-Sydney,Adelaide,Sydney,Jetstar,Jan-20, 91, 87, 4, 69, 69, 18, 18,79.3,79.3,4.4
Ayers Rock-Sydney,Ayers Rock,Sydney,Jetstar,Jan-20, 27, 27, 0, 15, 14, 12, 13,55.6,51.9,0.0
Ballina-Sydney,Ballina,Sydney,Jetstar,Jan-20, 108, 108, 0, 70, 76, 38, 32,64.8,70.4,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,Jan-20, 30, 29, 1, 19, 21, 10, 8,65.5,72.4,3.3
Brisbane-Cairns,Brisbane,Cairns,Jetstar,Jan-20, 104, 104, 0, 70, 84, 34, 20,67.3,80.8,0.0
Brisbane-Darwin,Brisbane,Darwin,Jetstar,Jan-20, 25, 25, 0, 23, 24, 2, 1,92.0,96.0,0.0
Brisbane-Hobart,Brisbane,Hobart,Jetstar,Jan-20, 43, 43, 0, 39, 38, 4, 5,90.7,88.4,0.0
Brisbane-Mackay,Brisbane,Mackay,Jetstar,Jan-20, 31, 31, 0, 24, 25, 7, 6,77.4,80.6,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,Jan-20, 183, 171, 12, 103, 113, 68, 58,60.2,66.1,6.6
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,Jan-20, 82, 80, 2, 53, 53, 27, 27,66.3,66.3,2.4
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,Jan-20, 43, 43, 0, 32, 36, 11, 7,74.4,83.7,0.0
Brisbane-Sydney,Brisbane,Sydney,Jetstar,Jan-20, 152, 146, 6, 109, 105, 37, 41,74.7,71.9,3.9
Brisbane-Townsville,Brisbane,Townsville,Jetstar,Jan-20, 62, 61, 1, 45, 46, 16, 15,73.8,75.4,1.6
Cairns-Brisbane,Cairns,Brisbane,Jetstar,Jan-20, 104, 104, 0, 83, 80, 21, 24,79.8,76.9,0.0
Cairns-Melbourne,Cairns,Melbourne,Jetstar,Jan-20, 59, 59, 0, 39, 40, 20, 19,66.1,67.8,0.0
Cairns-Sydney,Cairns,Sydney,Jetstar,Jan-20, 92, 91, 1, 75, 69, 16, 22,82.4,75.8,1.1
